0.2	0.447214	0.447214	3.76921e-14
0.4	0.632456	0.632456	0
0.6	0.774597	0.774597	0
0.8	0.894427	0.894427	1.11022e-16
1	1	1	0
1.2	1.09545	1.09545	0
1.4	1.18322	1.18322	0
1.6	1.26491	1.26491	0
1.8	1.34164	1.34164	0
2	1.41421	1.41421	0
2.2	1.48324	1.48324	0
2.4	1.54919	1.54919	0
2.6	1.61245	1.61245	0
2.8	1.67332	1.67332	0
3	1.73205	1.73205	0
3.2	1.78885	1.78885	0
3.4	1.84391	1.84391	0
3.6	1.89737	1.89737	2.22045e-16
3.8	1.94936	1.94936	6.66134e-16
4	2	2	2.22045e-15
4.2	2.04939	2.04939	6.21725e-15
4.4	2.09762	2.09762	1.59872e-14
4.6	2.14476	2.14476	3.86358e-14
4.8	2.19089	2.19089	8.79297e-14
5	2.23607	2.23607	1.88738e-13
5.2	2.28035	2.28035	3.83693e-13
5.4	2.32379	2.32379	7.46514e-13
5.6	2.36643	2.36643	1.39488e-12
5.8	2.40832	2.40832	2.51132e-12
6	2.44949	2.44949	4.37339e-12
6.2	2.48998	2.48998	7.39053e-12
6.4	2.52982	2.52982	1.21489e-11
6.6	2.56905	2.56905	1.94751e-11
6.8	2.60768	2.60768	3.05058e-11
7	2.64575	2.64575	4.67786e-11
7.2	2.68328	2.68328	7.03388e-11
7.4	2.72029	2.72029	1.03863e-10
7.6	2.75681	2.75681	1.50804e-10
7.8	2.79285	2.79285	2.15563e-10
8	2.82843	2.82843	3.03674e-10
8.2	2.86356	2.86356	4.22023e-10
8.4	2.89828	2.89828	5.79087e-10
8.6	2.93258	2.93258	7.852e-10
8.8	2.96648	2.96648	1.05285e-09
9	3	3	1.39698e-09
9.2	3.03315	3.03315	1.83538e-09
9.4	3.06594	3.06594	2.389e-09
9.6	3.09839	3.09839	3.0824e-09
9.8	3.1305	3.1305	3.94415e-09
10	3.16228	3.16228	5.0073e-09
10.2	3.19374	3.19374	6.30985e-09
10.4	3.2249	3.2249	7.89525e-09
10.6	3.25576	3.25576	9.81294e-09
10.8	3.28634	3.28634	1.21189e-08
11	3.31662	3.31662	1.48762e-08
11.2	3.34664	3.34664	1.81555e-08
11.4	3.37639	3.37639	2.2036e-08
11.6	3.40588	3.40588	2.66056e-08
11.8	3.43511	3.43511	3.19619e-08
12	3.4641	3.4641	3.82125e-08
12.2	3.49285	3.49285	4.54763e-08
12.4	3.52136	3.52136	5.38832e-08
12.6	3.54965	3.54965	6.35759e-08
12.8	3.57771	3.57771	7.47097e-08
13	3.60555	3.60555	8.74536e-08
13.2	3.63318	3.63318	1.01991e-07
13.4	3.6606	3.6606	1.1852e-07
13.6	3.68782	3.68782	1.37256e-07
13.8	3.71484	3.71484	1.58428e-07
14	3.74166	3.74166	1.82285e-07
14.2	3.76829	3.76829	2.09092e-07
14.4	3.79473	3.79473	2.39133e-07
14.6	3.82099	3.82099	2.72713e-07
14.8	3.84708	3.84708	3.10154e-07
15	3.87298	3.87298	3.51801e-07
15.2	3.89872	3.89872	3.98019e-07
15.4	3.92428	3.92428	4.49196e-07
15.6	3.94968	3.94968	5.05741e-07
15.8	3.97492	3.97492	5.68088e-07
16	4	4	6.36693e-07
16.2	4.02492	4.02492	7.12039e-07
16.4	4.04969	4.04969	7.94631e-07
16.6	4.07431	4.07431	8.85003e-07
16.8	4.09878	4.09878	9.83713e-07
17	4.12311	4.12311	1.09135e-06
17.2	4.14729	4.14729	1.20851e-06
17.4	4.17133	4.17133	1.33586e-06
17.6	4.19524	4.19524	1.47404e-06
17.8	4.219	4.21901	1.62377e-06
18	4.24264	4.24264	1.78577e-06
18.2	4.26615	4.26615	1.96079e-06
18.4	4.28952	4.28952	2.14963e-06
18.6	4.31277	4.31277	2.35309e-06
18.8	4.3359	4.3359	2.57202e-06
19	4.3589	4.3589	2.80731e-06
19.2	4.38178	4.38178	3.05987e-06
19.4	4.40454	4.40455	3.33063e-06
19.6	4.42719	4.42719	3.62057e-06
19.8	4.44972	4.44972	3.93071e-06
20	4.47214	4.47214	4.26207e-06
