0.2	0	6
0.4	0	5
0.6	7.10543e-15	4
0.8	0	4
1	0	0
1.2	0	4
1.4	0	4
1.6	3.10862e-15	4
1.8	0	5
2	0	5
2.2	0	5
2.4	0	5
2.6	0	5
2.8	0	5
3	0	5
3.2	0	5
3.4	0	5
3.6	2.22045e-16	5
3.8	6.66134e-16	5
4	2.22045e-15	5
4.2	6.21725e-15	5
4.4	0	6
4.6	0	6
4.8	0	6
5	0	6
5.2	0	6
5.4	0	6
5.6	0	6
5.8	0	6
6	0	6
6.2	4.44089e-16	6
6.4	0	6
6.6	0	6
6.8	0	6
7	0	6
7.2	0	6
7.4	4.44089e-16	6
7.6	4.44089e-16	6
7.8	4.44089e-16	6
8	0	6
8.2	0	6
8.4	0	6
8.6	4.44089e-16	6
8.8	0	6
9	0	6
9.2	0	6
9.4	0	6
9.6	0	6
9.8	0	6
10	0	6
10.2	0	6
10.4	0	6
10.6	0	6
10.8	0	6
11	0	6
11.2	0	6
11.4	0	6
11.6	0	6
11.8	4.44089e-16	6
12	4.44089e-16	6
12.2	4.44089e-16	6
12.4	4.44089e-16	6
12.6	4.44089e-16	6
12.8	8.88178e-16	6
13	1.33227e-15	6
13.2	1.33227e-15	6
13.4	1.77636e-15	6
13.6	2.66454e-15	6
13.8	3.55271e-15	6
14	4.44089e-15	6
14.2	5.77316e-15	6
14.4	7.54952e-15	6
14.6	9.76996e-15	6
14.8	0	7
15	0	7
15.2	0	7
15.4	4.44089e-16	7
15.6	0	7
15.8	0	7
16	0	7
16.2	0	7
16.4	8.88178e-16	7
16.6	0	7
16.8	0	7
17	0	7
17.2	0	7
17.4	0	7
17.6	0	7
17.8	0	7
18	8.88178e-16	7
18.2	0	7
18.4	0	7
18.6	8.88178e-16	7
18.8	0	7
19	8.88178e-16	7
19.2	0	7
19.4	0	7
19.6	0	7
19.8	0	7
20	0	7
