-10.00 0.00005 -542.33333 -1137.57143 0.02204
-9.00 0.00012 -307.70000 -518.58929 0.01515
-8.00 0.00034 -162.73333 -214.74603 0.00981
-7.00 0.00091 -78.68333 -78.68333 0.00628
-6.00 0.00248 -33.80000 -24.54286 0.00510
-5.00 0.00674 -12.33333 -6.13294 0.00777
-4.00 0.01832 -3.53333 -1.09524 0.01861
-3.00 0.04979 -0.65000 -0.07143 0.04984
-2.00 0.13534 0.06667 0.13016 0.13534
-1.00 0.36788 0.36667 0.36786 0.36788
0.00 1.00000 1.00000 1.00000 1.00000
1.00 2.71828 2.71667 2.71825 2.71828
2.00 7.38906 7.26667 7.38095 7.38889
3.00 20.08554 18.40000 19.84643 20.06542
4.00 54.59815 42.86667 51.80635 53.72727
5.00 148.41316 91.41667 128.61905 128.61905
6.00 403.42879 179.80000 300.14286 196.00000
7.00 1096.63316 329.76667 656.56944 159.26087
8.00 2980.95799 570.06667 1350.25714 101.95238
9.00 8103.08393 937.45000 2624.56429 66.02203
10.00 22026.46579 1477.66667 4850.68254 45.37500
